sample_index,image_path,source_group,part,part_index,valid,method,candidate_index,score,area,mask_sha256
0,hyena/cropped_images/head/02e5fbda-3d57-4b0a-be41-2b151ac1ff30/train2022_000000000022_head.jpg,train2022_000000000022,head,0,True,center,0,0.9765625,0.573066333992945,44e7b1e4ba554d4c8d9ecdf9247e7d890d3ebd4cee631928da5fc9f3fad9a4e3
1,hyena/cropped_images/head/02e5fbda-3d57-4b0a-be41-2b151ac1ff30/train2022_000000000165_head.jpg,train2022_000000000165,head,0,False,box_center,0,0.828125,0.84376615442455,
2,hyena/cropped_images/head/02e5fbda-3d57-4b0a-be41-2b151ac1ff30/train2022_000000000433_head.jpg,train2022_000000000433,head,0,False,center,2,0.84765625,0.4614088416044406,
3,hyena/cropped_images/head/02e5fbda-3d57-4b0a-be41-2b151ac1ff30/train2022_000000000560_head.jpg,train2022_000000000560,head,0,True,center,2,0.91796875,0.44316258757164956,ff05c7c735b9f18b126e2dc799766ea2304439d4fa749848e9a55931209999f7
4,hyena/cropped_images/head/02e5fbda-3d57-4b0a-be41-2b151ac1ff30/train2022_000000000851_head.jpg,train2022_000000000851,head,0,True,center,0,0.890625,0.4974044911052785,c5b0e7fb7e85ae3745ea3d7789bd7be4fdbfa5950a1e0e4af89a78b03aae61f0
5,hyena/cropped_images/head/02e5fbda-3d57-4b0a-be41-2b151ac1ff30/train2022_000000000919_head.jpg,train2022_000000000919,head,0,True,center,0,0.9765625,0.5159242588856123,b4175067a7c38b4360cf73bdaaa49d1b1625860b250e8026dfed86f8f32b8ead
6,hyena/cropped_images/head/02e5fbda-3d57-4b0a-be41-2b151ac1ff30/train2022_000000001067_head.jpg,train2022_000000001067,head,0,True,center,0,0.984375,0.6163121563943583,740b5451c2d55da0ad5b0f16f23a5afd97591023f5025551eb15a02ee729a36b
7,hyena/cropped_images/head/02e5fbda-3d57-4b0a-be41-2b151ac1ff30/train2022_000000001276_head.jpg,train2022_000000001276,head,0,False,box_center,0,0.75,0.8812409812409813,
8,hyena/cropped_images/head/02e5fbda-3d57-4b0a-be41-2b151ac1ff30/train2022_000000001294_head.jpg,train2022_000000001294,head,0,False,box_center,2,0.71875,0.49083855429033096,
9,hyena/cropped_images/head/02e5fbda-3d57-4b0a-be41-2b151ac1ff30/train2022_000000001587_head.jpg,train2022_000000001587,head,0,False,box_center,0,0.7890625,0.8936435481673253,
10,hyena/cropped_images/head/02e5fbda-3d57-4b0a-be41-2b151ac1ff30/train2022_000000001639_head.jpg,train2022_000000001639,head,0,True,center,2,0.92578125,0.5234397958394555,8ad02ffac22f9c9aa48ac7378fa326a0e7212b7dcde934d5f21cceb306841b6d
11,hyena/cropped_images/head/02e5fbda-3d57-4b0a-be41-2b151ac1ff30/train2022_000000001747_head.jpg,train2022_000000001747,head,0,True,box_center,2,0.9453125,0.5914946742104285,5d23725f6c7be9f23950738fe9f69ba752ef0e3772e0d9985c1f3c14cefeefbf
